MakeName,McLaren,Maserati,MINI,Chevrolet,Porsche,Acura,Mercedes-Benz,Ford,Genesis,Smart,Dodge,Scion,Rolls-Royce,Cadillac,Honda,Hyundai,Volkswagen,Mazda,Jeep,Infiniti,LandRover,Kia,Mitsubishi,BMW,FIAT,Lincoln,Lamborghini,Jaguar,GMC,Toyota,Nissan,AstonMartin,Volvo,Ferrari,Chrysler,Bentley,Tesla,Ram,AlfaRomeo,Subaru,Buick,Lexus,Audi,
McLaren,2344,38,173,32,70,154,72,41,37,77,67,27,24,141,226,68,24,66,13,70,70,25,29,8,117,24,72,17,178,426,23,116,64,31,30,28,82,19,23,116,21,62,86,0
Maserati,2,90,5,10,6,30,0,0,5,3,1,3,4,2,6,1,3,4,1,1,3,5,2,3,0,5,3,5,6,7,0,9,7,3,0,7,7,2,3,2,0,2,6,0
MINI,195,48,2044,24,74,164,32,51,50,167,31,60,37,65,301,36,113,56,22,48,31,35,19,16,50,34,74,40,102,201,14,122,57,47,15,32,72,65,30,50,25,43,78,0
Chevrolet,13,8,6,176,8,23,3,4,11,0,1,4,6,1,9,3,1,6,2,3,0,12,3,0,6,8,3,8,10,16,3,23,5,2,2,4,9,2,4,4,2,14,13,0
Porsche,13,14,11,16,127,18,1,5,12,12,4,3,11,3,22,6,0,11,1,6,7,13,2,0,8,6,3,9,23,11,2,19,24,0,0,9,16,1,2,5,0,3,17,0
Acura,179,50,144,69,68,2520,53,35,61,55,23,56,43,43,187,29,25,62,49,31,28,78,18,24,67,46,62,61,63,199,27,303,83,34,16,70,71,18,44,43,27,88,193,0
Mercedes-Benz,40,10,30,9,10,34,393,13,9,18,8,7,2,24,54,27,4,11,2,11,22,6,9,2,16,7,12,6,29,55,6,23,16,11,10,4,9,5,6,21,4,8,40,0
Ford,15,4,6,0,5,13,2,53,2,1,2,1,9,18,8,6,5,4,1,2,10,1,0,2,1,1,1,3,9,8,3,4,2,0,0,2,5,2,2,4,0,5,2,0
Genesis,3,8,5,6,9,8,3,0,32,7,2,5,5,1,4,1,0,2,1,2,1,5,0,4,2,1,3,2,6,1,1,6,10,2,2,4,5,3,0,1,0,3,4,0
Smart,78,22,149,18,30,45,17,18,20,816,16,18,17,22,105,17,41,29,9,24,27,9,6,8,21,11,42,14,49,64,8,35,28,39,14,12,18,97,13,37,10,19,36,0
Dodge,22,1,15,3,6,6,7,5,5,5,171,1,1,4,13,4,2,3,4,8,5,4,5,2,13,2,4,6,16,31,0,7,4,2,2,7,9,3,6,23,0,5,6,0
Scion,28,6,39,4,8,19,5,7,7,24,6,234,7,8,26,5,13,17,5,7,10,9,4,9,16,6,9,2,18,17,6,14,13,4,4,5,10,9,4,12,3,15,9,0
Rolls-Royce,2,4,5,5,5,2,2,2,3,2,1,3,31,3,3,1,0,2,3,0,4,2,1,1,2,2,0,2,4,2,1,5,4,0,3,1,5,5,3,6,0,1,5,0
Cadillac,73,9,29,5,17,28,31,22,5,22,16,7,6,450,46,20,6,25,7,29,16,17,10,6,20,6,18,11,32,64,10,20,10,8,8,5,17,4,9,15,7,15,33,0
Honda,274,43,313,42,77,216,60,43,47,151,49,53,38,78,2193,52,69,57,20,59,47,37,24,16,77,30,81,28,129,255,21,116,85,36,35,46,66,53,35,92,19,56,85,0
Hyundai,45,3,30,8,14,12,16,3,7,13,12,6,10,10,36,316,2,6,6,12,10,7,10,0,13,4,13,3,27,39,4,19,7,10,7,3,14,2,5,31,2,9,13,0
Volkswagen,6,6,55,4,6,13,4,10,2,10,2,3,2,9,21,4,218,6,1,1,2,1,2,5,6,4,20,2,11,30,1,6,4,5,2,4,12,3,2,5,1,6,9,0
