MakeName,McLaren,Maserati,MINI,Chevrolet,Porsche,Acura,Mercedes-Benz,Ford,Genesis,Smart,Dodge,Scion,Rolls-Royce,Cadillac,Honda,Hyundai,Volkswagen,Mazda,Jeep,Infiniti,LandRover,Kia,Mitsubishi,BMW,FIAT,Lincoln,Lamborghini,Jaguar,GMC,Toyota,Nissan,AstonMartin,Volvo,Ferrari,Chrysler,Bentley,Tesla,Ram,AlfaRomeo,Subaru,Buick,Lexus,Audi,,
McLaren,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Maserati,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
MINI,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chevrolet,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Porsche,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,
Acura,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,
Mercedes-Benz,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Ford,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Genesis,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,
Smart,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Dodge,22,1,15,3,6,6,7,5,5,5,171,1,1,4,13,4,2,3,4,8,5,4,5,2,13,2,4,6,16,31,0,7,4,2,2,7,9,3,6,23,0,5,6,0,
Scion,28,6,39,4,8,19,5,7,7,24,6,234,7,8,26,5,13,17,5,7,10,9,4,9,16,6,9,2,18,17,6,14,13,4,4,5,10,9,4,12,3,15,9,0,
Rolls-Royce,2,4,5,5,5,2,2,2,3,2,1,3,31,3,3,1,0,2,3,0,4,2,1,1,2,2,0,2,4,2,1,5,4,0,3,1,5,5,3,6,0,1,5,0,
Cadillac,73,9,29,5,17,28,31,22,5,22,16,7,6,450,46,20,6,25,7,29,16,17,10,6,20,6,18,11,32,64,10,20,10,8,8,5,17,4,9,15,7,15,33,0,
Honda,274,43,313,42,77,216,60,43,47,151,49,53,38,78,2193,52,69,57,20,59,47,37,24,16,77,30,81,28,129,255,21,116,85,36,35,46,66,53,35,92,19,56,85,0,
Hyundai,45,3,30,8,14,12,16,3,7,13,12,6,10,10,36,316,2,6,6,12,10,7,10,0,13,4,13,3,27,39,4,19,7,10,7,3,14,2,5,31,2,9,13,0,
Volkswagen,6,6,55,4,6,13,4,10,2,10,2,3,2,9,21,4,218,6,1,1,2,1,2,5,6,4,20,2,11,30,1,6,4,5,2,4,12,3,2,5,1,6,9,0,
